,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
68,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",216984,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
69,ILHA,"Luan Santana",216524,https://open.spotify.com/track/2zvfMwpBdm9zC4zwLWq1Wg
70,"STAY (with Justin Bieber)","The Kid LAROI",215807,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
71,"Profissão F0Da","DJ Roca",213743,https://open.spotify.com/track/2OEz3Dxs9yOEblN5Kk52Sv
72,"Rei Lacoste","MD Chefe",213722,https://open.spotify.com/track/1jwEnLN5hMOwotwXfchUaf
73,"Para de Me Chamar Pra Trair","Marília Mendonça",213189,https://open.spotify.com/track/78APwJSo30uWBB5PWROMNw
74,"Vamo Tomar Uma","Zé Neto & Cristiano",212839,https://open.spotify.com/track/452LVnTBjXYW3guqe3xiqI
75,"Strangers By Nature",Adele,212625,https://open.spotify.com/track/13CVSGLSFl4UxpDVR6u3dq
76,"Não, Não Vou","Mari Fernandez",211671,https://open.spotify.com/track/3jSG8oE8doxDxmpe5GlFee
77,"Passinho Debochado","Dan Ventura",208071,https://open.spotify.com/track/1tdDDOJRdbo1Uz47D1k62G
78,"Mustang Preto",Teto,204990,https://open.spotify.com/track/6Vgn3IEUkWs3d6og029Gtm
79,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,204989,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
80,"Doutora 3","Mc Kevin",204934,https://open.spotify.com/track/4DWKtQVURjepn8uzBgmwuv
81,"My Little Love",Adele,204045,https://open.spotify.com/track/2DuPBbS5mIldXnh7Wum8Cy
82,"Sorte - Ao Vivo","Diego & Victor Hugo",203808,https://open.spotify.com/track/5CbDKqtF6F6m1KUvsAf2Kf
83,"Metade de um Abraço","Zé Vaqueiro",201804,https://open.spotify.com/track/3ZBVlZVOynUEw2Aphgt2cN
