,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
142,"Get Into It (Yuh)","Doja Cat",4900,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
143,"Set Fire to the Rain",Adele,4828,https://open.spotify.com/track/7j4OmvkjRz0PrjFADlHfQx
144,RAPSTAR,"Polo G",4817,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
145,Spontaan,"Riaan Benadé",4794,https://open.spotify.com/track/5o9w9DqVf7w6AcGM4dDQfr
146,"It Ain't Me (Amapiano) - Radio Edit","Dj Abux",4770,https://open.spotify.com/track/4xMuBafSCIbIihcCHAvvnZ
147,"Overpass Graffiti","Ed Sheeran",4769,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
148,Shallow,"Lady Gaga",4754,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
149,Thunder,"Gabry Ponte",4724,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
150,"My Volgende Fout",Jay,4724,https://open.spotify.com/track/1kHQzqhGImGF9kPlgq7Yzh
151,"feel like shit","Tate McRae",4705,https://open.spotify.com/track/2EBnvom1dTybtm75a3Xh1T
152,"Idlozi Lami (feat. Phila Dlozi, Boohle & Kabza De Small)","Soa Mattrix",4668,https://open.spotify.com/track/11lpRETXFQtb66cqUeboRA
153,"All of Me","John Legend",4653,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
154,Wamuhle,Slade,4649,https://open.spotify.com/track/7svsAHuA6hM4sKhkzpvlhS
155,"John Wick","De Mthuda",4636,https://open.spotify.com/track/4nLJnkaFq9VNYVz1SxJsXi
156,Run,OneRepublic,4620,https://open.spotify.com/track/6KL88T4Ma4ABXqzgUoEwkd
157,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",4605,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
158,"Heartbreak Anniversary",Giveon,4594,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
159,Circles,"Post Malone",4579,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
160,"By Jou","Theuns Jordaan",4556,https://open.spotify.com/track/2V7pG9btFaEoqwgcDVYDR7
161,"Save Your Tears","The Weeknd",4542,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
162,Khanyisa,"Sdala B",4533,https://open.spotify.com/track/4UczeY6g3UxxuqGoPybChp
163,"Paradise (feat. Dermot Kennedy)",MEDUZA,4524,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
164,Anyone,"Justin Bieber",4504,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
165,"drivers license","Olivia Rodrigo",4491,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
166,"Intimidated (feat. H.E.R.)",KAYTRANADA,4473,https://open.spotify.com/track/1jBKtzlwTVtCrScpiiHiKT
167,Dubai,"Kamo Mphela",4464,https://open.spotify.com/track/6tx3PPYfrkpeJqQH2oSxhH
168,"No Role Modelz","J. Cole",4447,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
169,"You Right","Doja Cat",4428,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
170,Sky,"Playboi Carti",4415,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
171,"Nguwe (feat. Daliwonga, Sir Trill & Major League)","Mas Musiq",4357,https://open.spotify.com/track/425M50nnO61mq3yDFx8GsV
172,"Astronaut In The Ocean","Masked Wolf",4332,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
173,"Say You Won't Let Go","James Arthur",4310,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
174,"Don't Start Now","Dua Lipa",4289,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
175,Kwenzekile,Blxckie,4279,https://open.spotify.com/track/64xZ9gPptI3rrZjkNdIq3J
176,"Dance Monkey","Tones And I",4245,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
177,"Goosebumps - Remix","Travis Scott",4222,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
178,Memories,"Maroon 5",4211,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
179,"Don't Be Shy",Tiësto,4200,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
180,Ghanama,Makhadzi,4194,https://open.spotify.com/track/0AZxr9dlswnn6TNxIMyijH
181,"Your Love (9PM)",ATB,4186,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
182,"Roses - Imanbek Remix","SAINt JHN",4181,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
183,"Ploeg Jy?","Ricus Nel",4179,https://open.spotify.com/track/4e3PGLLsanBs6W4WXDU34v
184,"Bad Man (Smooth Criminal)","Polo G",4159,https://open.spotify.com/track/6RfhBNU1FPWTG7VESlfgOl
185,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",4097,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
186,"Come & Go (with Marshmello)","Juice WRLD",4085,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
187,"Don't Stop Believin'",Journey,4080,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
188,"Shenta (feat. Nkulee 501 & Skroef28)","Young Stunna",4061,https://open.spotify.com/track/3ZAMTTC8yaTvTSgNgF5ABE
189,"Ngiyazifela Ngawe","Sdala B",4052,https://open.spotify.com/track/6NEjaju3v4mJjBCOfeXctk
