,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
111,Medallo,Blessd,67170,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
112,"Romeo Y Julieta","Lola Indigo",67066,https://open.spotify.com/track/1rJat7yJE9fHXLuoaJfoND
113,"23 (With Ape Drums)",Randy,66674,https://open.spotify.com/track/4vv8wcnT04GHHbUCFBAiHF
114,"She Don't Give a Fo",Duki,66668,https://open.spotify.com/track/03a359wbiUsjN9h6yzXvmS
115,"Don't Be Shy",Tiësto,66122,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
116,"Cómo Están?",Morad,65896,https://open.spotify.com/track/5UnRXuem4qHseiCREBB7D7
117,"In Da Getto","J Balvin",65474,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
118,Malbec,Duki,65354,https://open.spotify.com/track/6KEb17S00Inf0v1qYDgUAj
119,"LA NOCHE DE ANOCHE","Bad Bunny",65205,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
120,"Nicky Jam: Bzrp Music Sessions, Vol. 41",Bizarrap,65114,https://open.spotify.com/track/03LfOYi0icz4souspZVVhq
121,512,Mora,64298,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
122,Millones,Camilo,61367,https://open.spotify.com/track/3YAnNBdk0uHyakXXzMbNJq
123,Aroma,"JC el Diamante",61327,https://open.spotify.com/track/0DXyt12jEwnGnON25W1Gp1
124,"Alejarme de Ti","Eladio Carrion",60581,https://open.spotify.com/track/4SVrkrtAeQLXoNOfQdmSAw
125,Fiel,"Los Legendarios",60536,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
126,Linda,Tokischa,60503,https://open.spotify.com/track/1ahCrpeTt94LL7y1aXw0Y8
127,"Eladio Carrion: Bzrp Music Sessions, Vol. 40",Bizarrap,60357,https://open.spotify.com/track/1VauUM5CBX7nkLcgafQL2B
128,"Cosa Guapa","Rauw Alejandro",60300,https://open.spotify.com/track/5o9NxjgOMpdGDYswuNv7yu
129,"good 4 u","Olivia Rodrigo",60294,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
130,"La Boca Junta",Melendi,60239,https://open.spotify.com/track/0rFD2VyCIu2ToXbkvlsKJv
