,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
83,"Dopamine (feat. Eyelar)","Purple Disco Machine",133790,https://open.spotify.com/track/5JBtWpLoGO62gb5vax505b
84,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,131714,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
85,"To Be Loved",Adele,131408,https://open.spotify.com/track/10ImcQk9tihY1EKMDIbvXJ
86,"Ich bin weg - BoroBoro",Samra,125101,https://open.spotify.com/track/1f6Paz0Vf1CPhcNDs1vMyR
87,"All Night Parking (with Erroll Garner) Interlude",Adele,125050,https://open.spotify.com/track/496vIKS2INz840xZaKncvR
88,Woman,"Doja Cat",124273,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
89,"Woman Like Me",Adele,124203,https://open.spotify.com/track/2c6xRsQBv7pynuhYhWoHxo
90,"Thunfisch & Weinbrand","Apache 207",122192,https://open.spotify.com/track/0m4ZKA2izLfFp74EOu5ob5
91,"The Motto",Tiësto,122120,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
92,"Hold On",Adele,121192,https://open.spotify.com/track/6bGMSP3H9YqkmaLnaJTIoF
93,"My Universe",Coldplay,121003,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
94,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",117250,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
95,"Null auf 100","Helene Fischer",116874,https://open.spotify.com/track/2YyIZVbxDKCWolKTcbdp6B
96,"so weit weg",IMMI,116381,https://open.spotify.com/track/43YewrBJxQ9qI6X527aeBE
97,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,115665,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
98,"Wenn du mich siehst","RAF Camora",114058,https://open.spotify.com/track/3AVC5l5wCEALuj4tg02uIL
99,"Order Nach",MotB,113779,https://open.spotify.com/track/550WNRc4dJwbhzQpTfEmDA
100,"Per Ty (feat. Mozzik)",Dardan,113417,https://open.spotify.com/track/1KwLkHOnyWedxyhZBOIHUM
101,Roller,"Apache 207",110441,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
102,"Apocalyptic Endgame","Sun Diego",110293,https://open.spotify.com/track/5WIK8KuxlEWbrQcRDEpHXV
103,"Happy End (feat. Sido)","Vanessa Mai",109213,https://open.spotify.com/track/1YRaS0rNK8y9E5NeTrKe03
104,"Blinding Lights","The Weeknd",108305,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
105,"MONTERO (Call Me By Your Name)","Lil Nas X",107290,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
106,Infinity,"Jaymes Young",107160,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
107,"My Heart Goes (La Di Da) (feat. Topic)","Becky Hill",105640,https://open.spotify.com/track/2dWNKXTs5z7Iu1g0kYh4Xe
108,Crashen,t-low,105470,https://open.spotify.com/track/5STeQZH1Ahz3h0X9Njaij7
109,Nullkommaneun,SSIO,104747,https://open.spotify.com/track/3cLXgIlvugVKpWBmO5v9oy
110,IDWK,"PA Sports",104466,https://open.spotify.com/track/1jwi2hdepSbFkuBjOore8i
111,"ALL EYEZ ON ME",t-low,103066,https://open.spotify.com/track/2RJOZP3GeW0mvkknkYgP1S
112,"I WANNA BE YOUR SLAVE",Måneskin,102679,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
113,"Never Going Home",Kungs,102489,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
114,"Kopfgefickt (feat. Doezis)","Celo & Abdi",101267,https://open.spotify.com/track/1H6wb0NBOtDEqQ20rDcX8J
115,"Wenn Du mich lässt",LEA,101070,https://open.spotify.com/track/3rIl1xa1Bzsp5zMkd0CT2Z
116,"In Da Getto","J Balvin",100175,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
117,"Love Is A Game",Adele,99720,https://open.spotify.com/track/2j3GxEsbNYNeEzz86wDY4J
118,Ghost,"Justin Bieber",99395,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
119,"Another Love","Tom Odell",99348,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
120,Madonna,Bausa,99082,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
121,"Besseres Ich",KAYEF,98493,https://open.spotify.com/track/7BwBotq7l4QE0gjvzbl0ta
122,"Overpass Graffiti","Ed Sheeran",98492,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
123,"Canada Goose",Samra,97293,https://open.spotify.com/track/6CL9ip2mMQzm8atRzahP5F
124,"Auch wenn es nicht viele verstehen","Capital Bra",96777,https://open.spotify.com/track/24dMXXCgVOj7jDNAlGjin2
125,"ESCAPE PLAN","Travis Scott",96541,https://open.spotify.com/track/4R67rQNSbbsR4TdUVOIdez
126,"Normal für mich",Jamule,96171,https://open.spotify.com/track/4KNeXUjINFJmLceS4KUYGa
127,Mond,Montez,96114,https://open.spotify.com/track/7ucTEwb8eRMpRlA744gjOo
128,„Hahaha“,badmómzjay,96107,https://open.spotify.com/track/3d6qirAvHEpdM6Ky5OKFQ8
129,Vodka,"Apache 207",96078,https://open.spotify.com/track/5axqVsveGtmOkq7H1wV3c0
130,"superswag pt. 1",ilyproxy,93501,https://open.spotify.com/track/08556SGxHuwQGdFKjCblO6
131,Thunder,"Gabry Ponte",93315,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
132,"Santa Tell Me","Ariana Grande",93104,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
133,"Most People (with Lukas Graham)",R3HAB,92853,https://open.spotify.com/track/3qGzO7CnDHKRT7KrR2JPFJ
134,"It's Beginning to Look a Lot like Christmas","Michael Bublé",90651,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
135,"Merry Christmas Everyone","Shakin' Stevens",90289,https://open.spotify.com/track/2TE4xW3ImvpltVU0cPcKUn
136,"The Business",Tiësto,88887,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
137,"Sweater Weather","The Neighbourhood",87614,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
138,Durstlöscher,01099,87494,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
139,Habit,Laurell,87054,https://open.spotify.com/track/4bnutybG1itDcpyoQo2Uoc
140,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",86782,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
141,"Love Again","Dua Lipa",86452,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
142,"King Kong",HBz,86257,https://open.spotify.com/track/7GIlBNE6pZRfoRfo4oL7f0
143,"Ihr kriegt uns nie mehr klein",DIKKA,85174,https://open.spotify.com/track/64X8ELgyyITuLpHpl2Xmzw
144,"Life Goes On","Oliver Tree",84771,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
145,"Underneath the Tree","Kelly Clarkson",83723,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
146,2011,Dardan,82945,https://open.spotify.com/track/44IkrAeQhRxZpuyshIeVEW
147,Extasy,"187 Strassenbande",82011,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT
148,"Moje Sve",Hava,81922,https://open.spotify.com/track/1LBWVVGfTCr8EYNSd92W81
149,"Head & Heart (feat. MNEK)","Joel Corry",81703,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
150,"Ohne mein Team","Bonez MC",81651,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
151,"Baby 2.0",Zuna,81321,https://open.spotify.com/track/4mc0wGvP83zeFlhuatdyXM
152,"Driving Home for Christmas - 2019 Remaster","Chris Rea",81170,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
153,STIMMEN,Musso,81057,https://open.spotify.com/track/60XfOcNsPZt5H7gwq3mxXv
154,SCHMETTERLING,Luciano,80468,https://open.spotify.com/track/3gUVLJZ0JoGRuoRNUCIYsI
155,"Dies & Das",01099,80296,https://open.spotify.com/track/5GzBVGr752l5qcGo2ZBNoS
156,"Happier Than Ever","Billie Eilish",79801,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
157,"Smokin Out The Window","Bruno Mars",79659,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
158,"Meet Me At Our Spot","THE ANXIETY",79340,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
159,"Liege wieder wach",Jamule,79114,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
160,"Au Volant","Elsa & Emilie",78430,https://open.spotify.com/track/6uvtjD6fR4JG19JgQsKLjE
161,"Vergesse nie die Street","RAF Camora",78192,https://open.spotify.com/track/3ZDXLSUZpKx8pspNBOdVr5
162,"Gangsta's Paradise",Coolio,78155,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
163,"feel like shit","Tate McRae",77750,https://open.spotify.com/track/2EBnvom1dTybtm75a3Xh1T
164,"Young Right Now","Robin Schulz",77475,https://open.spotify.com/track/0JpEMzTHbt2zBIXrntrXzG
165,"Mucho Gusto",Viko63,76885,https://open.spotify.com/track/36WlC0lGi1UEGJNKLCCV91
166,"In the End","Linkin Park",76708,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
167,"Die Hook (Philipp Schwär Remix)","Fynn Kliemann",75944,https://open.spotify.com/track/0e6ANv2cPtHNGWXgsYyPKo
168,"Praise God","Kanye West",75844,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
