,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
158,"White Christmas","Bing Crosby",38182,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
159,MAFIA,"Travis Scott",38134,https://open.spotify.com/track/08F16baYbciTva9P4BvpiI
160,"Roses - Imanbek Remix","SAINt JHN",37820,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
161,Dior,"Pop Smoke",37691,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
162,"Not In The Mood (feat. Fivio Foreign & Kay Flock)","Lil Tjay",37486,https://open.spotify.com/track/25GyyK9CyZRiDCsPY51fIT
163,"Face Off","Tech N9ne",37476,https://open.spotify.com/track/6M47gaKejso9772SKTa3yH
164,"Don't Stop Believin'",Journey,37434,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
165,"Motley Crew","Post Malone",37361,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
166,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",37293,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
167,"Holy Ground (Taylor's Version)","Taylor Swift",37287,https://open.spotify.com/track/7J4b3LVCIGO4CMBDFLPoP6
168,"LOT OF ME","Lil Tecca",37173,https://open.spotify.com/track/2ZXxRC6V6AXzMdbLQZMHSB
169,"Lady Of Namek","Tory Lanez",37057,https://open.spotify.com/track/6btIpLff2jE56h2N40smAj
170,"Make You Feel My Love",Adele,36787,https://open.spotify.com/track/273QnyCvJB65rScHJ1nPZb
171,"The Business",Tiësto,36656,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
172,"Lucid Dreams","Juice WRLD",36635,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
173,"Come & Go (with Marshmello)","Juice WRLD",36469,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
174,"Begin Again (Taylor's Version)","Taylor Swift",36306,https://open.spotify.com/track/05GsNucq8Bngd9fnd4fRa0
175,Skate,"Bruno Mars",36303,https://open.spotify.com/track/71l8BEtJPXXlWbV6hhTHWK
176,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,36214,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
177,ROOF,DaBaby,36057,https://open.spotify.com/track/1zwvbkUqTozLnmIECvBfgs
178,Someday,OneRepublic,36007,https://open.spotify.com/track/6aDsgHPZsMztSbZernzlF8
179,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage","Skylar Grey",35766,https://open.spotify.com/track/5W8HXMOMLtXLz0RGKUtnlZ
180,"you broke me first","Tate McRae",35729,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
181,A-O-K,"Tai Verdes",35671,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
182,"Godzilla (feat. Juice WRLD)",Eminem,35419,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
