,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
77,Beggin',Måneskin,375738,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
78,"Fancy Like","Walker Hayes",371246,https://open.spotify.com/track/0lnpnsrVaW9elGgRxpDCgE
79,"I Almost Do (Taylor's Version)","Taylor Swift",364499,https://open.spotify.com/track/2r9CbjYgFhtAmcFv1cSquB
80,"Forever Winter (Taylor's Version) (From The Vault)","Taylor Swift",362801,https://open.spotify.com/track/3oGVx9RBmiYGv5ZCecWLkx
81,"1 Scale (feat. G Herbo)","Young Dolph",359265,https://open.spotify.com/track/5gmkw2031VVIboYqPIjSWB
82,"Blinding Lights","The Weeknd",356933,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
83,"Babe (Taylor's Version) (From The Vault)","Taylor Swift",356062,https://open.spotify.com/track/0v4z1tuZvn6LGknom9Qx7d
84,Notion,"The Rare Occasions",353088,https://open.spotify.com/track/4cHKd6qPMR1TMx55KHlida
85,"The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version)","Taylor Swift",351675,https://open.spotify.com/track/0y6kdSRCVQhSsHSpWvTUm7
86,"Jingle Bell Rock","Bobby Helms",350552,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
87,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",348197,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
88,"Wants and Needs (feat. Lil Baby)",Drake,348048,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
89,"Someone Like You",Adele,347542,https://open.spotify.com/track/5lkpeJwmQKgY3bX2zChjxX
90,"Stay Stay Stay (Taylor's Version)","Taylor Swift",343300,https://open.spotify.com/track/7eQj6r5PIdYKEIZjucBMcq
91,"No Love (with SZA)","Summer Walker",340326,https://open.spotify.com/track/08SB2OtZkaliju77WYEKxk
92,"LA FAMA (with The Weeknd)",ROSALÍA,339392,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
93,"Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version)","Taylor Swift",336125,https://open.spotify.com/track/7qEUFOVcxRI19tbT68JcYK
94,"Holy Ground (Taylor's Version)","Taylor Swift",334778,https://open.spotify.com/track/7J4b3LVCIGO4CMBDFLPoP6
95,"Jumpin (feat. Polo G)","NLE Choppa",331907,https://open.spotify.com/track/1z7LV5wkExwW8YJk0IrPUA
96,Toxic,BoyWithUke,329925,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
97,"All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios","Taylor Swift",326030,https://open.spotify.com/track/1n3b9Eekoy3S9ZSZ5DmTW1
98,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",323159,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
99,"20 Min","Lil Uzi Vert",322663,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
100,MONEY,LISA,322334,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
101,Freaks,"Surf Curse",321396,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
102,"Girls Want Girls (with Lil Baby)",Drake,321303,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
103,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",320928,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
104,"Tell Em",Cochise,319273,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
105,"GHOST TOWN","Benson Boone",317679,https://open.spotify.com/track/135Lf4Q0CzlMNfOxbEUsLH
106,"Rolling in the Deep",Adele,316495,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
107,"Life Goes On","Oliver Tree",316119,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
108,"Bubbly (with Drake & Travis Scott)","Young Thug",315553,https://open.spotify.com/track/4KDNRh9Oor80z3XIxdWlui
109,"Wildest Dreams (Taylor's Version)","Taylor Swift",314309,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
110,"It's Beginning to Look a Lot like Christmas","Michael Bublé",312625,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
111,"Love In The Dark",Adele,312388,https://open.spotify.com/track/0DuWDLjriRPjDRoPgaCslY
112,Skate,"Bruno Mars",311331,https://open.spotify.com/track/71l8BEtJPXXlWbV6hhTHWK
113,"Begin Again (Taylor's Version)","Taylor Swift",310628,https://open.spotify.com/track/05GsNucq8Bngd9fnd4fRa0
114,Hurricane,"Kanye West",308532,https://open.spotify.com/track/6Hfu9sc7jvv6coyy2LlzBF
115,"Too Easy",Gunna,306849,https://open.spotify.com/track/4eL3XeuGaEoVT8ttDh3hwY
116,"My Universe",Coldplay,305695,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
117,"drivers license","Olivia Rodrigo",305571,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
118,"deja vu","Olivia Rodrigo",304755,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
119,"Ain't Shit","Doja Cat",304247,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
120,"All Girls Are The Same","Juice WRLD",298845,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
121,"Mr. Brightside","The Killers",298248,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
122,"It's the Most Wonderful Time of the Year","Andy Williams",297578,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
123,Circles,"Post Malone",297196,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
124,"Come Back...Be Here (Taylor's Version)","Taylor Swift",297144,https://open.spotify.com/track/4pNApnaUWAL2J4KO2eqokq
125,"The Lucky One (Taylor's Version)","Taylor Swift",297056,https://open.spotify.com/track/4e5ayHsOLJNLTGfjau2mEw
126,"feel like shit","Tate McRae",296033,https://open.spotify.com/track/2EBnvom1dTybtm75a3Xh1T
127,"Do It To It",ACRAZE,295617,https://open.spotify.com/track/20on25jryn53hWghthWWW3
128,"Martin & Gina","Polo G",291475,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
129,"The Moment I Knew (Taylor's Version)","Taylor Swift",291426,https://open.spotify.com/track/0NRHj8hDwwmSPaA41o379r
130,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,291053,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
131,"Sad Beautiful Tragic (Taylor's Version)","Taylor Swift",289911,https://open.spotify.com/track/73qMN9bXy7MSPwwGfH3wQr
132,"Fly As Me","Bruno Mars",288412,https://open.spotify.com/track/7HEWQj82REyDOKMAAlB9pc
133,"Buy Dirt","Jordan Davis",287830,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
134,"Lucid Dreams","Juice WRLD",286989,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
135,"Starlight (Taylor's Version)","Taylor Swift",285550,https://open.spotify.com/track/7A2cNLRT0YJc1yjxHlKihs
136,"Está Dañada","Ivan Cornejo",285239,https://open.spotify.com/track/6G2xXQRSZlEzYsUEb3uvuR
137,"After Last Night (with Thundercat & Bootsy Collins)","Bruno Mars",284773,https://open.spotify.com/track/7ozvuHnA1zWzuTvReLChVL
138,"Sharing Locations (feat. Lil Baby & Lil Durk)","Meek Mill",284046,https://open.spotify.com/track/3T9BKc4kB7ukeNQrCqv6ZV
139,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",281384,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
140,"Last Christmas",Wham!,278303,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
141,"Watermelon Sugar","Harry Styles",277290,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
142,"LOT OF ME","Lil Tecca",276393,https://open.spotify.com/track/2ZXxRC6V6AXzMdbLQZMHSB
143,"Siendo Sincero","Los Del Limit",275489,https://open.spotify.com/track/6HgiRuV6ITWQBGsJ1HDjz1
144,"Major (feat. Key Glock)","Young Dolph",274883,https://open.spotify.com/track/3Yt2ph8Ko0JBANpdawzSF2
145,"The Christmas Song (Merry Christmas To You)","Nat King Cole",273991,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
146,Yonaguni,"Bad Bunny",273343,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
147,"Looking Out for You","Joy Again",270740,https://open.spotify.com/track/3jfZ9M23l0L7RxzYMTgBTv
148,ROOF,DaBaby,269935,https://open.spotify.com/track/1zwvbkUqTozLnmIECvBfgs
149,"Blast Off","Bruno Mars",268993,https://open.spotify.com/track/21afd9hCjpQ6lE5DPbcPHP
